Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
DYNAMIC REFLECTIONS OFF,Text,,DYNAMIC REFLECTIONS OFF,ДИНАМИЧЕСКИЕ ОТРАЖЕНИЯ ОТКЛ,DYNAMISCHE REFLEKTIONEN AUS,动态反射关闭,動態反射關閉,RéFLEXIONS DYNAMIQUES DéSACTIVéES,REFLEXOS DINÂMICOS OFF,오프 동적 반사,動的反射オフ,RIFLESSI DINAMICI OFF,DINAMIK YANSIMALAR KAPALI,تأملات ديناميكية قبالة,DYNAMISKA REFLEKTIONER OFF,DYNAMISKE REFLEKSJONER AV,DYNAMISKE REFLEKSIONER OFF,DYNAMICZNE ODBICIA WYłąCZONE,REFLEJOS DINAMICOS APAGADO,DYNAAMINEN HEIJASTUKSET,DYNAMISCHE REFLECTIES UIT,REFLEXOS DINÂMICOS DESLIGADO,[i2auto]ΔΥΝΑΜΙΚΈΣ ΑΝΑΚΛΆΣΕΙΣ,[i2auto]DINAMIKUS ANAKLASEIS,[i2auto]ANAKLASEIS DINAMICE,[i2auto]DYNAMIC ANAKLASEIS,[i2auto]ANAKLASEIS DYNAMIC,[i2auto]DYNAMIC ANAKLASEIS,[i2auto]ДИНАМІЧНІ ANAKLASEIS
DYNAMIC REFLECTIONS ON,Text,,DYNAMIC REFLECTIONS ON,Динамические Отражения Вкючены,DYNAMISCHE REFLEKTIONEN AN,动态思考,動態思考,RéFLEXIONS DYNAMIQUES ACTIVéES,REFLEXÕES SOBRE DINÂMICAS,동적 반사,上の動的反射,RIFLESSIONI DINAMICHE SU,DINAMIK YANSIMALAR AÇIK,تأملات الحيوية على,DYNAMISKA REFLEKTIONER OM,DYNAMISKE REFLEKSJONER,DYNAMISKE OVERVEJELSER OM,DYNAMICZNE ODBICIA WłąCZONE,REFLEJOS DINAMICOS PRENDIDO,DYNAAMINEN POHDINTOJA,DYNAMISCHE REFLECTIES AAN,REFLEXOS DINÂMICOS LIGADO,[i2auto]ΔΥΝΑΜΙΚΉ ΣΚΈΨΕΙΣ ΓΙΑ,[i2auto]DINAMIKUS TÖPRENGETT,[i2auto]CHIBZUIND DINAMIC,[i2auto]ДИНАМИЧЕН РАЗМИШЛЕНИЕ,[i2auto]ขบคิดแบบไดนามิก,[i2auto]DYNAMICKÁ PONDERING,[i2auto]ДИНАМІЧНА ОБДУМУВАННЯ
MOTION BLUR OFF,Text,,MOTION BLUR OFF,РАЗМЫТИЕ ДВИЖЕНИЯ ОТКЛ,BEWEGUNGSUNSCHÄRFE AUS,从模糊,從模糊,EFFET DE FLOU OFF,MOTION BLUR OFF,에서 흐림,からぼかし,SFOCATURA DA,HAREKET BULANıKLığı KAPALı,طمس من,OSKÄRPA FRÅN,DIMME FRA,SLØRE FRA,ROZYMCIE EKRANU WYłąCZONE,DESENFOQUE DE MOVIMIENTO APAGADO,HÄMÄRTÄÄ ALKAEN,BEWEGINGS BLUR UIT,EFEITO DESFOCADO DESLIGADO,[i2auto]MOTION BLUR OFF,[i2auto]MOTION BLUR OFF,[i2auto]NECLARITATE ÎN MIșCARE OFF,[i2auto]MOTION BLUR РАЗСТОЯНИЕ,[i2auto]การเคลื่อนไหวเบลอปิด,[i2auto]MOTION BLUR OFF,[i2auto]РОЗМИТІСТЬ ВИКЛ
MOTION BLUR LOW,Text,,MOTION BLUR LOW,РАЗМЫТИЕ ДВИЖЕНИЯ НИЗКО,BEWEGUNGSUNSCHÄRFE NIEDRIG,运动模糊低,運動模糊低,EFFET DE FLOU BAS,MOTION BLUR BAIXO,모션 블러 낮음,モーションブラー低,MOTION BLUR BASSO,HAREKET BULANIKLIĞI DÜŞÜK,منخفض الضبابية,RÖRELSEOSKÄRPA LÅG,BEVEGELSESUSKARPHET LAV,MOTION BLUR LAV,ROZMYCIE EKRANU NISKIE,DESENFOQUE DE MOVIMIENTO BAJO,LIIKKEESSÄ HÄMÄRTÄÄ ALHAINEN,BEWEGINGS BLUR LAAG,EFEITO DESFOCADO BAIXO,[i2auto]MOTION BLUR ΧΑΜΗΛΉ,[i2auto]MOTION BLUR ALACSONY,[i2auto]NECLARITATE ÎN MIșCARE REDUSĂ,[i2auto]MOTION BLUR НИСКА,[i2auto]การเคลื่อนไหวเบลอต่ำ,[i2auto]MOTION BLUR NÍZKÁ,[i2auto]РОЗМИТІСТЬ ЗОБРАЖЕННЯ З НИЗЬКИМ
MOTION BLUR HIGH,Text,,MOTION BLUR HIGH,РАЗМЫТОСТЬ ВЫСОКОЙ,BEWEGUNGSUNSCHÄRFE HOCH,运动模糊高,運動模糊高,EFFET DE FLOU éLEVé,BORRÃO DE MOVIMENTO DE ALTA,모션 블러 높은에게,モーションブラー高,MOTION BLUR ALTO,HAREKET BULANIKLIĞI YÜKSEK,الضبابية عالية,RÖRELSEOSKÄRPA HÖG,BEVEGELSESUSKARPHET HØY,MOTION BLUR HØJ,ROZMYCIE EKRANU WYSKOIE,DESENFOQUE DE MOVIENTO ALTO,LIIKKEESSÄ HÄMÄRTÄÄ KORKEA,BEWEGINGS BLUR HOOG,EFEITO DESFOCADO ALTO,[i2auto]ΘΑΜΠΆΔΑ ΚΙΝΉΣΕΩΝ ΥΨΗΛΉΣ,[i2auto]MOTION BLUR HIGH,[i2auto]MOTION BLUR HIGH,[i2auto]РАЗМАЗВАНЕ ПРИ ДВИЖЕНИЕ HIGH,[i2auto]การเคลื่อนไหวเบลอ HIGH,[i2auto]MOTION BLUR HIGH,[i2auto]РОЗМИТІСТЬ ВИСОКИЙ
SHADOWS OFF,Text,,SHADOWS OFF,Тени Отключены,SCHATTEN AUS,阴影关闭,陰影關閉,OMBRES DéSACTIVéES,SOMBRAS OFF,오프 그림자,影オフ,OMBRE OFF,KAPALI GÖLGE,الظلال قبالة,SKUGGOR AV,SKYGGER OFF,SKYGGER OFF,CIENIE WYłąCZONE,SOMBRAS APAGADO,VARJOT POIS,SCHADUWEN UIT,SOMBRAS DESLIGADO,[i2auto]ΣΚΙΈΣ OFF,[i2auto]SHADOWS OFF,[i2auto]UMBRE OFF,[i2auto]ХВЪРЛЯ СЯНКА НА РАЗСТОЯНИЕ,[i2auto]เงาปิด,[i2auto]STÍNY OFF,[i2auto]ТІНІ ВІД
SHADOWS LOW,Text,,SHADOWS LOW,Низкие Тени,SCHATTEN NIEDRIG,阴影低,陰影低,OMBRES BASSES,SOMBRAS BAIXO,그림자 낮은,低影,OMBRE BASSO,GÖLGELER DÜŞÜK,انخفاض الظلال,SKUGGOR LÅG,SKYGGER LAV,SKYGGER LAV,CIENIE NISKIE,SOMBRAS BAJO,VARJOT ALHAINEN,SCHADUWEN LAAG,SOMBRAS BAIXO,[i2auto]ΣΚΙΈΣ ΧΑΜΗΛΉ,[i2auto]SHADOWS ALACSONY,[i2auto]UMBRE SCĂZUTĂ,[i2auto]SHADOWS НИСКА,[i2auto]ต่ำ SHADOWS,[i2auto]SHADOWS NÍZKÁ,[i2auto]ТІНІ НИЗЬКИЙ
SHADOWS HIGH,Text,,SHADOWS HIGH,Высокие Тени,SCHATTEN HOCH,阴影高,陰影高,OMBRES HAUTES,SOMBRAS ALTA,그림자 높은,高い影,OMBRE ALTO,GÖLGELER YÜKSEK,ارتفاع الظلال,SKUGGOR HÖG,SKYGGER HØY,SKYGGER HØJ,CIENIE WYSOKIE,SOMBRAS ALTA,VARJOT KORKEA,SCHADUWEN HOOG,SOMBRAS ALTA,[i2auto]ΣΚΙΈΣ ΥΨΗΛΉΣ,[i2auto]SHADOWS HIGH,[i2auto]SHADOWS HIGH,[i2auto]SHADOWS HIGH,[i2auto]SHADOWS HIGH,[i2auto]SHADOWS HIGH,[i2auto]ТІНІ ВИСОКИЙ
BLOOM OFF,Text,,BLOOM OFF,Блум Выключен,BLOOM AUS,盛开关闭,盛開關閉,BLOOM OFF,FLORESCER FORA,오프 꽃,オフ咲きます,FIORIRE OFF,TAZELIK KAPALı,تزدهر قبالة,BLOMMAR UT,BLOMSTRE OFF,BLOMSTRE OFF,BLOOM WłąCZONY,REFLEJO DE LUZ APAGADO,KUKKIVAT POIS,BLOOM UIT,BRILHO DE LUZES DESLIGADO,[i2auto]ΑΝΘΊΖΟΥΝ OFF,[i2auto]VIRÁGZIK KI,[i2auto]BLOOM OFF,[i2auto]ЦЪФТЯТ РАЗСТОЯНИЕ,[i2auto]บานออก,[i2auto]KVETOU OFF,[i2auto]РОЗКВІТАЮТЬ ВІД
BLOOM ON,Text,,BLOOM ON,Блум Включен,BLOOM AN,盛开,盛開,BLOOM ON,FLORESCER EM,에 꽃,咲きます,FIORIRE SU,TAZELIK AçıK,تزدهر على,BLOMMAR PÅ,BLOMSTRER PÅ,BLOMSTRER PÅ,BLOOM WYłąCZONY,REFLEJO DE LUZ PRENDIDO,KUKKIVAT,BLOEM AAN,BRILHO DE LUZES LIGADO,[i2auto]ΑΝΘΊΖΟΥΝ ΣΤΙΣ,[i2auto]VIRÁGZÁS,[i2auto]BLOOM ON,[i2auto]РАЗЦВЕТ ON,[i2auto]บาน,[i2auto]KVĚT ON,[i2auto]ЦВІТІННЯ ON
FILM GRAIN OFF,Text,,FILM GRAIN OFF,ФИЛЬМ ЗЕРНА ОТ,FILMROLLENEFFEKT AUS,胶片颗粒关闭,膠片顆粒關閉,GRAIN DE FILM ACTIVé,EFEITO DE FILME OFF,필름 그레인 오프,フィルムグレインオフ,GRANA DELLA PELLICOLA OFF,FİLM GRENİ KAPALI,فيلم الحبوب قبالة,FILMKORN AV,FILM KORN OFF,FILMKORN OFF,ZIARNO WYŁĄCZONY,FILM GRAIN APAGADO,RAKEISUUTTA POIS,FILM GRAIN UIT,EFEITO DE FILME DESLIGADO,[i2auto]ΦΙΛΜ ΣΙΤΗΡΏΝ OFF,[i2auto]GABONA FILM OFF,[i2auto]GRANULAțIE FILM OFF,[i2auto]ЗЪРНО ФИЛМ НА РАЗСТОЯНИЕ,[i2auto]เนื้อฟิล์มปิด,[i2auto]ZRNO FILMU OFF,[i2auto]ЗЕРНИСТОСТІ ПЛІВКИ ВІД
FILM GRAIN ON,Text,,FILM GRAIN ON,ФИЛЬМ ЗЕРНА НА,FILMROLLENEFFEKT AN,胶片颗粒上,膠片顆粒上,GRAIN DE FILM DéSACTIVé,EFEITO DE FILME ON,필름 그레인에,フィルムグレインの,GRANA DELLA PELLICOLA SU,FİLM GRENİ AÇIK,فيلم الحبوب على,FILMKORNIGHET PÅ,FILM KORN PÅ,FILMKORN PÅ,ZIARNO NA,FILM GRAIN PRENDIDO,RAKEISUUTTA ON,FILM GRAIN AAN,EFEITO DE FILME LIGADO,[i2auto]ΣΕ ΚΌΚΚΟΥΣ ΤΑΙΝΊΑ,[i2auto]GRAIN FILM,[i2auto]FILM CEREALE,[i2auto]ЗЪРНО ФИЛМ,[i2auto]ภาพยนตร์ GRAIN,[i2auto]GRAIN FILM,[i2auto]ЗЕРНО ФІЛЬМ
VIGNETTE OFF,Text,,VIGNETTE OFF,ВИНЬЕТКА ВЫКЛЮЧЕН,VIGNETTE AUS,小品关闭,小品關閉,VIGNETTE ACTIVéE,VINHETA OFF,림 오프,ビネットオフ,VIGNETTA OFF,SKEÇ KAPALI,المقالة القصيرة قبالة,VINJETT OFF,VIGNETT OFF,VIGNET OFF,WINIETA WYŁĄCZONY,VIÑETA APAGADO,VINJETTI POIS,VIGNETTE UIT,EFEITO DE VINHETA DESLIGADO,[i2auto]ΒΙΝΙΈΤΑ OFF,[i2auto]MATRICA OFF,[i2auto]VINIETĂ OFF,[i2auto]ВИНЕТКА РАЗСТОЯНИЕ,[i2auto]บทความออก,[i2auto]VINĚTA OFF,[i2auto]ВІНЬЄТКА ВІД
VIGNETTE ON,Text,,VIGNETTE ON,Виньетка Включена,VIGNETTE AN,小品上,小品上,VIGNETTE SUR,VINHETA EM,림에,上のビネット,VIGNETTE SU,SKEÇ ÜZERINDE,المقالة القصيرة على,VINJETT PÅ,VIGNETT PÅ,VIGNET PÅ,WINIETA NA,CON VIÑETA,VINJETTI ON,VIGNETTE AAN,EFEITO DE VINHETA LIGADO,[i2auto]ΓΙΑ ΒΙΝΙΈΤΑ,[i2auto]A MATRICA,[i2auto]PENTRU VINIETĂ,[i2auto]ЗА ВИНЕТКА,[i2auto]สำหรับบทความ,[i2auto]PRO VINĚTA,[i2auto]ДЛЯ ВІНЬЄТКА
TEXTURE RESOLUTION 1/8,Text,,TEXTURE RESOLUTION 1/8,Разрешение Текстур 1/8,TEXTURAUFLÖSUNG 1/8,纹理分辨率1/8,紋理分辨率1/8,RÉSOLUTION DE TEXTURE 1/8,RESOLUÇÃO TEXTURA 1/8,텍스처 해상도 1/8,テクスチャの解像度1/8,LA RISOLUZIONE DELLE TEXTURE 1/8,DOKU ÇÖZÜNÜRLÜĞÜ 1/8,قرار الملمس 1/8,TEXTUR UPPLÖSNING 1/8,TEKSTUR OPPLØSNING 1/8,TEKSTUR RESOLUTION 1/8,ROZDZIELCZOŚĆ TEKSTUR 1/8,RESOLUCION DE TEXTURAS 1/8,TEKSTUURIEN 1/8,TEXTUUR RESOLUTIE 1/8,RESOLUÇÃO DA TEXTURA 1/8,[i2auto]ΨΉΦΙΣΜΑ ΥΦΉ 1/8,[i2auto]FELBONTÁSÚ TEXTÚRA 1/8,[i2auto]REZOLUțIA TEXTURII 1/8,[i2auto]РЕЗОЛЮЦИЯ ТЕКСТУРА 1/8,[i2auto]เนื้อสัมผัสความละเอียด 1/8,[i2auto]ROZLIŠENÍ TEXTURY 1/8,[i2auto]ДОЗВІЛ ТЕКСТУРИ 1/8
TEXTURE RESOLUTION 1/4,Text,,TEXTURE RESOLUTION 1/4,Разрешение Текстур 1/4,TEXTURAUFLÖSUNG 1/4,纹理分辨率1/4,紋理分辨率1/4,RÉSOLUTION DE TEXTURE 1/4,RESOLUÇÃO TEXTURA 1/4,텍스처 해상도 1/4,テクスチャの解像度1/4,LA RISOLUZIONE DELLE TEXTURE 1/4,DOKU ÇÖZÜNÜRLÜĞÜ 1/4,قرار الملمس 1/4,TEXTUR UPPLÖSNING 1/4,TEKSTUR OPPLØSNING 1/4,TEKSTUR RESOLUTION 1/4,ROZDZIELCZOŚĆ TEKSTUR 1/4,RESOLUCION DE TEXTURAS 1/4,TEKSTUURIEN 1/4,TEXTUUR RESOLUTIE 1/4,RESOLUÇÃO DA TEXTURA 1/4,[i2auto]ΨΉΦΙΣΜΑ ΥΦΉ 1/4,[i2auto]FELBONTÁSÚ TEXTÚRA 1/4,[i2auto]REZOLUțIA TEXTURII 1/4,[i2auto]РЕЗОЛЮЦИЯ ТЕКСТУРА 1/4,[i2auto]เนื้อสัมผัสความละเอียด 1/4,[i2auto]ROZLIŠENÍ TEXTURY 1/4,[i2auto]ДОЗВІЛ ТЕКСТУРИ 1/4
TEXTURE RESOLUTION 1/2,Text,,TEXTURE RESOLUTION 1/2,Разрешение Текстур 1/2,TEXTURAUFLÖSUNG 1/2,纹理分辨率1/2,紋理分辨率1/2,RÉSOLUTION DE TEXTURE 1/2,RESOLUÇÃO TEXTURA 1/2,텍스처 해상도 1/2,テクスチャの解像度1/2,LA RISOLUZIONE DELLE TEXTURE 1/2,DOKU ÇÖZÜNÜRLÜĞÜ 1/2,قرار الملمس 1/2,TEXTUR UPPLÖSNING 1/2,TEKSTUR OPPLØSNING 1/2,TEKSTUR RESOLUTION 1/2,ROZDZIELCZOŚĆ TEKSTUR 1/2,RESOLUCION DE TEXTURAS 1/2,TEKSTUURIEN 1/2,TEXTUUR RESOLUTIE 1/2,RESOLUÇÃO DA TEXTURA 1/2,[i2auto]ΨΉΦΙΣΜΑ ΥΦΉ 1/2,[i2auto]FELBONTÁSÚ TEXTÚRA 1/2,[i2auto]REZOLUțIA TEXTURII 1/2,[i2auto]РЕЗОЛЮЦИЯ ТЕКСТУРА 1/2,[i2auto]เนื้อสัมผัสความละเอียด 1/2,[i2auto]ROZLIŠENÍ TEXTURY 1/2,[i2auto]ДОЗВІЛ ТЕКСТУРИ 1/2
TEXTURE RESOLUTION FULL,Text,,TEXTURE RESOLUTION FULL,ПОЛНОЕ РАЗРЕШЕНИЕ ТЕКСТУР,TEXTURAUFLÖSUNG VOLL,纹理分辨率全,紋理分辨率全,RÉSOLUTION DE TEXTURE COMPLÈTE,RESOLUÇÃO DE TEXTURA COMPLETO,전체 텍스처 해상도,フルテクスチャ解像度,LA RISOLUZIONE DELLE TEXTURE PIENO,TAM DOKU ÇÖZÜNÜRLÜĞÜ,قرار نسيج كامل,TEXTUR UPPLÖSNING FULLT,TEKSTUR OPPLØSNING FULLE,TEKSTUR OPLØSNING FULD,ROZDZIELCZOŚĆ TEKSTUR PEŁNA,RESOLUCION DE TEXTURAS COMPLETO,TEKSTUURIEN KOKO,TEXTUUR RESOLUTIE VOL,RESOLUÇÃO DE TEXTURA MÁXIMA,[i2auto]ΨΉΦΙΣΜΑ ΥΦΉ ΠΛΉΡΗ,[i2auto]TEXTÚRA FELBONTÁS TELJES,[i2auto]REZOLUțIE TEXTURA COMPLETĂ,[i2auto]ТЕКСТУРА РЕЗОЛЮЦИЯ ПЪЛЕН,[i2auto]ความละเอียดของเนื้อเต็ม,[i2auto]ROZLIŠENÍ TEXTURY FULL,[i2auto]ДОЗВІЛ ТЕКСТУР ПОВНИЙ
LEVEL COMPLETE,Text,,LEVEL COMPLETE,УРОВЕНЬ ПРОЙДЕН,LEVEL GESCHAFFT,级别完成,級別完成,NIVEAU TERMINE,NÍVEL COMPLETO,완전한 수준,完全なレベル,LIVELLO COMPLETO,SEVIYE TAMAMLANDı,مستوى كامل,NIVå AVKLARAD,NIVÅ KOMPLETT,NIVEAU KOMPLET,POZIOM UKOńCZONY,NIVEL COMPLETADO,TASO TÄYDELLINEN,LEVEL VOLTOOID,NÍVEL COMPLETO,[i2auto]ΕΠΊΠΕΔΟ ΠΛΉΡΟΥΣ,[i2auto]TELJES SZINTET,[i2auto]NIVELUL FULL,[i2auto]FULL НИВО,[i2auto]ระดับ FULL,[i2auto]FULL ÚROVEŇ,[i2auto]ПОВНИЙ РІВЕНЬ
YOU HAVE DIED,Text,,YOU HAVE DIED,ВЫ УМЕРЛИ,DU BIST GESTORBEN,你已经死了,你已經死了,VOUS ÊTES MORTS,VOCÊ MORREU,당신은 죽었다,あなたが死亡しています,SEI MORTO,öLDüN,كنت قد مات,DU HAR DÖTT,DU ER DØD,DU DøDE,NIE żYJESZ,HAS MUERTO,OLET KUOLLUT,JE BENT DOOD,MORRESTE,[i2auto]ΠΟΥ ΈΧΟΥΝ ΠΕΘΆΝΕΙ,[i2auto]AKIK MEGHALTAK,[i2auto]CARE AU MURIT,[i2auto]КОИТО СА УМРЕЛИ,[i2auto]ที่มีผู้เสียชีวิต,[i2auto]KTEŘÍ ZEMŘELI,[i2auto]ХТО ПОМЕР
REPLAY LEVEL,Text,,REPLAY LEVEL,Повтор Уровня,LEVEL NEUSTARTEN,重播水平,重播水平,REJOUER LE NIVEAU,RECOMEÇAR NÍVEL,재생 레벨,リプレイレベル,LIVELLO DI RIPRODUZIONE,YENİDEN OYNA,مستوى اعادتها,SPELA OM NIVå,START På NYTT,REPLAY-NIVEAU,POWTóRZ POZIOM,REPETIR NIVEL,PELAA UUDELLEEN,LEVEL OPNIEUW SPELEN,RECOMEÇAR NÍVEL,[i2auto]ΕΠΊΠΕΔΟ REPLAY,[i2auto]VISSZAJÁTSZÁS SZINTET,[i2auto]NIVELUL DE RELUARE,[i2auto]НИВО ПРЕИГРАВАНЕ,[i2auto]ระดับการเล่นใหม่,[i2auto]ÚROVEŇ REPLAY,[i2auto]РІВЕНЬ ВІДТВОРЕННЯ
RETURN TO MENU,Text,,RETURN TO MENU,ВЕРНУТЬСЯ К МЕНЮ,ZURÜCK ZUM MENÜ,返回菜单,返回菜單,RETOURNER AU MENU,RETORNAR AO MENU,메뉴로 돌아가,メニューに戻ります,TORNARE AL MENU,MENüYE DöN,العودة إلى القائمة,ÅTERGÅ TILL MENYN,TILBAKE TIL MENYEN,TILBAGE TIL MENU,POWRóć DO MENU,VOLVER AL MENU,PALAA VALIKKOON,TERUG NAAR HET MENU,VOLTAR AO MENU,[i2auto]ΕΠΙΣΤΡΈΨΕΤΕ ΣΤΟ ΜΕΝΟΎ,[i2auto]VISSZATÉR A MENÜ,[i2auto]A REVENI LA MENIUL,[i2auto]СЕ ВЪРНЕТЕ КЪМ МЕНЮТО,[i2auto]กลับไปที่เมนู,[i2auto]NÁVRAT DO MENU,[i2auto]ПОВЕРНУТИСЯ В МЕНЮ
QUIT TO MENU,Text,,QUIT TO MENU,Выйти в Меню,ZURüCK INS MENü,退出菜单,退出菜單,QUITTER JUSQU'AU MENU,SAIR PARA O MENU,메뉴에 종료,メニューに終了します,USCIRE AL MENU,MENÜYE ÇIK,الإقلاع عن التدخين إلى القائمة,AVSLUTA TILL MENYN,SLUTTET TIL MENY,AFSLUT TIL MENU,WYJDź DO MENU,SALIR AL MENU,LOPETTAA VALIKKOON,TERUG NAAR MENU,SAIR PARA O MENU,[i2auto]ΣΤΑΜΑΤΉΣΟΥΝ ΣΤΟ ΜΕΝΟΎ,[i2auto]KILÉP A MENÜBŐL,[i2auto]RENUNțE LA MENIU,[i2auto]ОТКАЖАТ ДА МЕНЮ,[i2auto]เลิกไปที่เมนู,[i2auto]SKONČIT NA MENU,[i2auto]ВИЙТИ В МЕНЮ
RESTART LEVEL,Text,,RESTART LEVEL,ПЕРЕЗАПУСТИТЬ УРОВЕНЬ,LEVEL NEUSTARTEN,重启水平,重啟水平,RECOMMENCER LE NIVEAU,RECOMEÇAR NÍVEL,다시 시작 레벨,再起動レベル,LIVELLO DI RIAVVIO,BöLüMü YENIDEN BAşLAT,مستوى إعادة التشغيل,ÅTERSTART NIVÅ,RESTART NIVÅ,GENSTART NIVEAU,ROZPOCZNIJ POZIOM OD NOWA,REINICIAR NIVEL,ALOITA UUDELLEEN,LEVEL OPNIEUW BEGINNEN,RECOMEÇAR NÍVEL,[i2auto]ΕΠΑΝΕΚΚΊΝΗΣΗ ΕΠΊΠΕΔΟ,[i2auto]ÚJRAINDÍTÁSÁT SZINTET,[i2auto]NIVELUL REPORNIRE,[i2auto]РЕСТАРТИРАНЕ НИВО,[i2auto]ระดับเริ่มต้นใหม่,[i2auto]RESTART LEVEL,[i2auto]РЕСТАРТ РІВНЯ
RESUME,Text,,RESUME,ПРОДОЛЖИТЬ,FORTSETZEN,恢复,恢復,REPRENDRE,RESUMIR,이력서,履歴書,CURRICULUM VITAE,DEVAM,استئنف,FORTSÄTT,GJENOPPTA,GENOPTAG,WZNOWIĆ,CONTINUAR,JATKA,GA DOOR,RESUMIR,[i2auto]ΠΕΡΊΛΗΨΗ,[i2auto]ÖSSZEFOGLALÁS,[i2auto]REZUMAT,[i2auto]ОБОБЩЕНИЕ,[i2auto]ย่อ,[i2auto]SHRNUTÍ,[i2auto]РЕЗЮМЕ
INPUT OPTIONS,Text,,INPUT OPTIONS,Настройки Управления,EINGABEOPTIONEN,输入选项,輸入選項,OPTIONS D'ENTRÉE,OPÇÕES DE ENTRADA,입력 옵션,入力オプション,OPZIONI DI INPUT,GIRIŞ SEÇENEKLERI,خيارات الإدخال,INMATNINGSALTERNATIV,INNGANGSALTERNATIVER,INPUT MULIGHEDER,OPCJE WEJŚCIOWE,CAMBIAR CONTROLES,SYÖTTÖLAITTEISIIN,INVOERMOGELIJKHEDEN,OPÇÕES DE CONTROLOS,[i2auto]ΕΠΙΛΟΓΈΣ ΕΙΣΌΔΟΥ,[i2auto]OPTIONS BEJEGYZÉST,[i2auto]INTRARE OPTIUNI,[i2auto]ВЛИЗАНЕ ВАРИАНТИ,[i2auto]รายการตัวเลือก,[i2auto]POLOŽKA OPTIONS,[i2auto]ЗАПИС ВАРІАНТИ
CUSTOM,Text,,CUSTOM,ИЗГОТОВЛЕННЫЙ НА ЗАКАЗ,BENUTZERDEFINIERT,习俗,習俗,PERSONALISé,PERSONALIZADAS,관습,カスタム,COSTUME,öZEL,عرف,BESTÄLLNINGS-,EGENDEFINERT,BRUGERDEFINEREDE,WłASNE,PERSONALIZADO,ASIAKASSUHDE,AANGEPAST,PERSONALIZADAS,[i2auto]ΈΘΙΜΟ,[i2auto]SZOKÁS,[i2auto]OBICEI,[i2auto]ОБИЧАЙ,[i2auto]ประเพณี,[i2auto]ZVYK,[i2auto]ВИГОТОВЛЕНИЙ НА ЗАМОВЛЕННЯ
