Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
MOTION BLUR LOW,Text,,MOTION BLUR LOW,РАЗМЫТИЕ ДВИЖЕНИЯ НИЗКО,BEWEGUNGSUNSCHÄRFE NIEDRIG,动态模糊 低,動態模糊低,FLOU DYNAMIQUE BAS,DESFOQUE DE MOVIMENTO BAIXO,모션 블러 낮음,モーションブラー低,MOTION BLUR BASSO,HAREKET BULANIKLIĞI DÜŞÜK,منخفض الضبابية,RÖRELSEOSKÄRPA LÅG,BEVEGELSESUSKARPHET LAV,MOTION BLUR LAV,ROZMYCIE EKRANU NISKIE,DESENFOQUE DE MOVIMIENTO BAJO,LIIKKEESSÄ HÄMÄRTÄÄ ALHAINEN,BEWEGINGS BLUR LAAG,EFEITO DESFOCADO BAIXO,MOTION BLUR ΧΑΜΗΛΉ,MOTION BLUR ALACSONY,NECLARITATE ÎN MIșCARE REDUSĂ,MOTION BLUR НИСКА,การเคลื่อนไหวเบลอต่ำ,MOTION BLUR NÍZKÁ,РОЗМИТІСТЬ ЗОБРАЖЕННЯ З НИЗЬКИМ
MOTION BLUR HIGH,Text,,MOTION BLUR HIGH,РАЗМЫТИЕ ДВИЖЕНИЯ ВЫСОКОЕ,BEWEGUNGSUNSCHÄRFE HOCH,动态模糊 高,動態模糊高,FLOU DYNAMIQUE ÉLEVÉ,DESFOQUE DE MOVIMENTO ALTO,모션 블러 높은에게,モーションブラー高,MOTION BLUR ALTO,HAREKET BULANIKLIĞI YÜKSEK,الضبابية عالية,RÖRELSEOSKÄRPA HÖG,BEVEGELSESUSKARPHET HØY,MOTION BLUR HØJ,ROZMYCIE EKRANU WYSKOIE,DESENFOQUE DE MOVIENTO ALTO,LIIKKEESSÄ HÄMÄRTÄÄ KORKEA,BEWEGINGS BLUR HOOG,EFEITO DESFOCADO ALTO,ΘΑΜΠΆΔΑ ΚΙΝΉΣΕΩΝ ΥΨΗΛΉΣ,MOTION BLUR HIGH,MOTION BLUR HIGH,РАЗМАЗВАНЕ ПРИ ДВИЖЕНИЕ HIGH,การเคลื่อนไหวเบลอ HIGH,MOTION BLUR HIGH,РОЗМИТІСТЬ ВИСОКИЙ
SHADOWS OFF,Text,,SHADOWS OFF,Тени Отключены,SCHATTEN AUS,关闭阴影,陰影關閉,OMBRES DéSACTIVéES,SOMBRAS DESLIGADA,오프 그림자,影オフ,OMBRE OFF,GÖLGELER KAPALI,الظلال قبالة,SKUGGOR AV,SKYGGER OFF,SKYGGER SLÅET FRA,CIENIE WYłąCZONE,SOMBRAS APAGADO,VARJOT POIS,SCHADUWEN UIT,SOMBRAS DESLIGADO,ΣΚΙΈΣ OFF,ÁRNYÉKOK KIKAPCSOLVA,UMBRE OFF,ХВЪРЛЯ СЯНКА НА РАЗСТОЯНИЕ,เงาปิด,STÍNY OFF,ТІНІ ВІД
SHADOWS LOW,Text,,SHADOWS LOW,Тени Низкие,SCHATTEN NIEDRIG,低阴影效果,陰影低,OMBRES BASSES,SOMBRAS BAIXO,그림자 낮은,低影,OMBRE BASSO,GÖLGELER DÜŞÜK,انخفاض الظلال,SKUGGOR LÅG,SKYGGER LAV,SKYGGER LAV,CIENIE NISKIE,SOMBRAS BAJO,VARJOT ALHAINEN,SCHADUWEN LAAG,SOMBRAS BAIXO,ΣΚΙΈΣ ΧΑΜΗΛΉ,ÁRNYÉKOK ALACSONYAN,UMBRE SCĂZUTĂ,SHADOWS НИСКА,ต่ำ SHADOWS,SHADOWS NÍZKÁ,ТІНІ НИЗЬКИЙ
SHADOWS HIGH,Text,,SHADOWS HIGH,Тени Высокие,SCHATTEN HOCH,高阴影效果,陰影高,OMBRES HAUTES,SOMBRAS ALTA,그림자 높은,高い影,OMBRE ALTO,GÖLGELER YÜKSEK,ارتفاع الظلال,SKUGGOR HÖG,SKYGGER HØY,SKYGGER HØJ,CIENIE WYSOKIE,SOMBRAS ALTA,VARJOT KORKEA,SCHADUWEN HOOG,SOMBRAS ALTA,ΣΚΙΈΣ ΥΨΗΛΉΣ,ÁRNYÉKOK MAGASAN,SHADOWS HIGH,SHADOWS HIGH,SHADOWS HIGH,SHADOWS HIGH,ТІНІ ВИСОКИЙ
BLOOM OFF,Text,,BLOOM OFF,Блум Выключен,BLOOM AUS,光影效果关闭,光暈關閉,BLOOM OFF,BLOOM DESLIGADO,오프 꽃,ブルーム　オフ,FIORIRE OFF,IŞILDAMA KAPALI,تزدهر قبالة,LJUSSKEN AV,BLOOM AV,BLOOM SLÅET FRA,BLOOM WłąCZONY,REFLEJO DE LUZ APAGADO,KUKKIVAT POIS,BLOOM UIT,BRILHO DE LUZES DESLIGADO,ΑΝΘΊΖΟΥΝ OFF,VIRÁGZIK KI,BLOOM OFF,ЦЪФТЯТ РАЗСТОЯНИЕ,บานออก,KVETOU OFF,РОЗКВІТАЮТЬ ВІД
BLOOM ON,Text,,BLOOM ON,Блум Включен,BLOOM AN,光影效果开启,光暈開啟,BLOOM ON,BLOOM LIGADO,에 꽃,ブルーム　オン,FIORIRE SU,IŞILDAMA AÇIK,تزدهر على,LJUSSKEN PÅ,BLOMSTRER PÅ,BLOOM SLÅET TIL,BLOOM WYłąCZONY,REFLEJO DE LUZ PRENDIDO,KUKKIVAT PÄÄLLÄ,BLOOM AAN,BRILHO DE LUZES LIGADO,ΑΝΘΊΖΟΥΝ ΣΤΙΣ,VIRÁGZÁS,BLOOM ON,РАЗЦВЕТ ON,บาน,KVĚT ON,ЦВІТІННЯ ON
FILM GRAIN OFF,Text,,FILM GRAIN OFF,ЗЕРНИСТОСТЬ ВЫКЛ.,FILMKÖRNUNG AUS,胶片颗粒关闭,膠片顆粒關閉,GRAIN DE FILM ACTIVé,EFEITO DE FILME DESLIGADO,필름 그레인 오프,フィルムグレインオフ,GRANA DELLA PELLICOLA OFF,FİLM GRENİ KAPALI,فيلم الحبوب قبالة,FILMKORNIGHET AV,FILM KORN OFF,FILM TILSTAND SLÅET FRA,ZIARNO WYŁĄCZONY,FILM GRAIN APAGADO,RAKEISUUS POIS,FILM GRAIN UIT,EFEITO DE FILME DESLIGADO,ΦΙΛΜ ΣΙΤΗΡΏΝ OFF,GABONA FILM OFF,GRANULAțIE FILM OFF,ЗЪРНО ФИЛМ НА РАЗСТОЯНИЕ,เนื้อฟิล์มปิด,ZRNO FILMU OFF,ЗЕРНИСТОСТІ ПЛІВКИ ВІД
FILM GRAIN ON,Text,,FILM GRAIN ON,ЗЕРНИСТОСТЬ ВКЛ,FILMKÖRNUNG AN,胶片颗粒开启,膠片顆粒上,GRAIN DE FILM DéSACTIVé,EFEITO DE FILME LIGADO,필름 그레인에,フィルムグレイン　オン,GRANA DELLA PELLICOLA SU,FİLM GRENİ AÇIK,فيلم الحبوب على,FILMKORNIGHET PÅ,FILM KORN PÅ,FILM TILSTAND SLÅET TIL,ZIARNO NA,FILM GRAIN PRENDIDO,RAKEISUUS PÄÄLLE,FILM GRAIN AAN,EFEITO DE FILME LIGADO,ΣΕ ΚΌΚΚΟΥΣ ΤΑΙΝΊΑ,GRAIN FILM,FILM CEREALE,ЗЪРНО ФИЛМ,ภาพยนตร์ GRAIN,GRAIN FILM,ЗЕРНО ФІЛЬМ
VIGNETTE OFF,Text,,VIGNETTE OFF,ВИНЬЕТКА ВЫКЛЮЧЕН,VIGNETTE AUS,渐晕关闭,暈影關閉,VIGNETTE DéSACTIVéE,VINHETA DESLIGADA,림 오프,ビネットオフ,VIGNETTA OFF,SKEÇ KAPALI,المقالة القصيرة قبالة,VINJETT AV,VIGNETT OFF,VIGNETTE SLÅET FRA,WINIETA WYłąCZONA,VIÑETA APAGADO,VINJETTI POIS,VIGNETTE UIT,EFEITO DE VINHETA DESLIGADO,ΒΙΝΙΈΤΑ OFF,MATRICA OFF,VINIETĂ OFF,ВИНЕТКА РАЗСТОЯНИЕ,บทความออก,VINĚTA OFF,ВІНЬЄТКА ВІД
VIGNETTE ON,Text,,VIGNETTE ON,Виньетка Включена,VIGNETTE AN,渐晕开启,暈影開啟,VIGNETTE ACTIVÉ,VINHETA LIGADA,림에,ビネットオン,VIGNETTE SU,SKEÇ ÜZERINDE,المقالة القصيرة على,VINJETT PÅ,VIGNETT PÅ,VIGNETTE SLÅET TIL,WINIETA WłąCZONA,CON VIÑETA,VINJETTI PÄÄLLÄ,VIGNETTE AAN,EFEITO DE VINHETA LIGADO,ΓΙΑ ΒΙΝΙΈΤΑ,A MATRICA,PENTRU VINIETĂ,ЗА ВИНЕТКА,สำหรับบทความ,PRO VINĚTA,ДЛЯ ВІНЬЄТКА
TEXTURE RESOLUTION 1/8,Text,,TEXTURE RESOLUTION 1/8,Разрешение Текстур 1/8,TEXTURAUFLÖSUNG 1/8,纹理分辨率1/8,材質解析度 1/8,RÉSOLUTION DE TEXTURE 1/8,RESOLUÇÃO DA TEXTURA 1/8,텍스처 해상도 1/8,テクスチャの解像度1/8,LA RISOLUZIONE DELLE TEXTURE 1/8,DOKU ÇÖZÜNÜRLÜĞÜ 1/8,قرار الملمس 1/8,TEXTURUPPLÖSNING 1/8,TEKSTUR OPPLØSNING 1/8,TEKSTUR OPLØSNING 1/8,ROZDZIELCZOŚĆ TEKSTUR 1/8,RESOLUCION DE TEXTURAS 1/8,TEKSTUURIEN RESOLUUTIO 1/8,TEXTUUR RESOLUTIE 1/8,RESOLUÇÃO DA TEXTURA 1/8,ΨΉΦΙΣΜΑ ΥΦΉ 1/8,FELBONTÁSÚ TEXTÚRA 1/8,REZOLUțIA TEXTURII 1/8,РЕЗОЛЮЦИЯ ТЕКСТУРА 1/8,เนื้อสัมผัสความละเอียด 1/8,ROZLIŠENÍ TEXTURY 1/8,ДОЗВІЛ ТЕКСТУРИ 1/8
TEXTURE RESOLUTION 1/4,Text,,TEXTURE RESOLUTION 1/4,Разрешение Текстур 1/4,TEXTURAUFLÖSUNG 1/4,纹理分辨率1/4,材質解析度 1/4,RÉSOLUTION DE TEXTURE 1/4,RESOLUÇÃO DA TEXTURA 1/4,텍스처 해상도 1/4,テクスチャの解像度1/4,LA RISOLUZIONE DELLE TEXTURE 1/4,DOKU ÇÖZÜNÜRLÜĞÜ 1/4,قرار الملمس 1/4,TEXTURUPPLÖSNING 1/4,TEKSTUR OPPLØSNING 1/4,TEKSTUR OPLØSNING 1/4,ROZDZIELCZOŚĆ TEKSTUR 1/4,RESOLUCION DE TEXTURAS 1/4,TEKSTUURIEN RESOLUUTIO 1/4,TEXTUUR RESOLUTIE 1/4,RESOLUÇÃO DA TEXTURA 1/4,ΨΉΦΙΣΜΑ ΥΦΉ 1/4,FELBONTÁSÚ TEXTÚRA 1/4,REZOLUțIA TEXTURII 1/4,РЕЗОЛЮЦИЯ ТЕКСТУРА 1/4,เนื้อสัมผัสความละเอียด 1/4,ROZLIŠENÍ TEXTURY 1/4,ДОЗВІЛ ТЕКСТУРИ 1/4
TEXTURE RESOLUTION 1/2,Text,,TEXTURE RESOLUTION 1/2,Разрешение Текстур 1/2,TEXTURAUFLÖSUNG 1/2,纹理分辨率1/2,材質解析度 1/2,RÉSOLUTION DE TEXTURE 1/2,RESOLUÇÃO DA TEXTURA 1/2,텍스처 해상도 1/2,テクスチャの解像度1/2,LA RISOLUZIONE DELLE TEXTURE 1/2,DOKU ÇÖZÜNÜRLÜĞÜ 1/2,قرار الملمس 1/2,TEXTURUPPLÖSNING 1/2,TEKSTUR OPPLØSNING 1/2,TEKSTUR OPLØSNING 1/2,ROZDZIELCZOŚĆ TEKSTUR 1/2,RESOLUCION DE TEXTURAS 1/2,TEKSTUURIEN RESOLUUTIO 1/2,TEXTUUR RESOLUTIE 1/2,RESOLUÇÃO DA TEXTURA 1/2,ΨΉΦΙΣΜΑ ΥΦΉ 1/2,FELBONTÁSÚ TEXTÚRA 1/2,REZOLUțIA TEXTURII 1/2,РЕЗОЛЮЦИЯ ТЕКСТУРА 1/2,เนื้อสัมผัสความละเอียด 1/2,ROZLIŠENÍ TEXTURY 1/2,ДОЗВІЛ ТЕКСТУРИ 1/2
TEXTURE RESOLUTION FULL,Text,,TEXTURE RESOLUTION FULL,ПОЛНОЕ РАЗРЕШЕНИЕ ТЕКСТУР,TEXTURAUFLÖSUNG VOLL,纹理分辨率最高,完整材質解析度,RÉSOLUTION DE TEXTURE COMPLÈTE,RESOLUÇÃO DA TEXTURA COMPLETA,전체 텍스처 해상도,フルテクスチャ解像度,LA RISOLUZIONE DELLE TEXTURE PIENO,TAM DOKU ÇÖZÜNÜRLÜĞÜ,قرار نسيج كامل,TEXTURUPPLÖSNING FULLT,TEKSTUR OPPLØSNING FULLE,TEKSTUR OPLØSNING FULD,ROZDZIELCZOŚĆ TEKSTUR PEŁNA,RESOLUCION DE TEXTURAS COMPLETO,TEKSTUURIEN RESOLUUTIO TÄYSI,TEXTUUR RESOLUTIE VOL,RESOLUÇÃO DE TEXTURA MÁXIMA,ΨΉΦΙΣΜΑ ΥΦΉ ΠΛΉΡΗ,TEXTÚRA FELBONTÁS TELJES,REZOLUțIE TEXTURA COMPLETĂ,ТЕКСТУРА РЕЗОЛЮЦИЯ ПЪЛЕН,ความละเอียดของเนื้อเต็ม,ROZLIŠENÍ TEXTURY FULL,ДОЗВІЛ ТЕКСТУР ПОВНИЙ
LEVEL COMPLETE,Text,,LEVEL COMPLETE,УРОВЕНЬ ПРОЙДЕН,LEVEL ABGESCHLOSSEN,关卡完成,完成關卡,NIVEAU TERMINÉ,NÍVEL COMPLETO,완전한 수준,レベル完了,LIVELLO COMPLETATO,BÖLÜM TAMAMLANDI,مستوى كامل,NIVÅ AVKLARAD,NIVÅ FULLFØRT,NIVEAU GENNEMFØRT,POZIOM UKOńCZONY,NIVEL COMPLETADO,TASO LÄPÄISTY,LEVEL VOLTOOID,NÍVEL COMPLETO,ΕΠΊΠΕΔΟ ΠΛΉΡΟΥΣ,SZINT TELJESÍTVE,NIVELUL FULL,FULL НИВО,ระดับ FULL,FULL ÚROVEŇ,ПОВНИЙ РІВЕНЬ
YOU HAVE DIED,Text,,YOU HAVE DIED,ВЫ УМЕРЛИ,DU BIST TOT,你死了,你已經死了,VOUS ÊTES MORT,VOCÊ MORREU,당신은 죽었다,あなたは死亡しました,SEI MORTO,ÖLDÜN,كنت قد مات,DU HAR DÖTT,DU ER DØD,DU DØDE,ZGINąłEś,HAS MUERTO,OLET KUOLLUT,JE BENT DOOD,VOCÊ MORREU,ΠΟΥ ΈΧΟΥΝ ΠΕΘΆΝΕΙ,MEGHALTÁL,CARE AU MURIT,КОИТО СА УМРЕЛИ,ที่มีผู้เสียชีวิต,KTEŘÍ ZEMŘELI,ХТО ПОМЕР
REPLAY LEVEL,Text,,REPLAY LEVEL,Повтор Уровня,LEVEL WIEDERHOLEN,重启关卡,重播關卡,REJOUER LE NIVEAU,REPETIR NÍVEL,재생 레벨,リプレイレベル,LIVELLO DI RIPRODUZIONE,TEKRAR OYNA,مستوى اعادتها,SPELA OM NIVÅ,START På NYTT,REPLAY NIVEAU,POWTóRZ POZIOM,REPETIR NIVEL,PELAA UUDELLEEN,LEVEL OPNIEUW SPELEN,RECOMEÇAR NÍVEL,ΕΠΊΠΕΔΟ REPLAY,VISSZAJÁTSZÁS SZINTET,NIVELUL DE RELUARE,НИВО ПРЕИГРАВАНЕ,ระดับการเล่นใหม่,ÚROVEŇ REPLAY,РІВЕНЬ ВІДТВОРЕННЯ
RETURN TO MENU,Text,,RETURN TO MENU,ВЕРНУТЬСЯ К МЕНЮ,ZURÜCK ZUM MENÜ,返回主界面,返回菜單,RETOURNER AU MENU,VOLTAR AO MENU,메뉴로 돌아가,メニューに戻ります,TORNARE AL MENU,MENÜYE DÖN,العودة إلى القائمة,Gå TILLBAKS TILL MENYN,TILBAKE TIL MENYEN,TILBAGE TIL MENU,POWRóć DO MENU,VOLVER AL MENU,PALAA VALIKKOON,TERUG NAAR HET MENU,VOLTAR AO MENU,ΕΠΙΣΤΡΈΨΕΤΕ ΣΤΟ ΜΕΝΟΎ,VISSZATÉRÉS A MENÜBE,A REVENI LA MENIUL,СЕ ВЪРНЕТЕ КЪМ МЕНЮТО,กลับไปที่เมนู,NÁVRAT DO MENU,ПОВЕРНУТИСЯ В МЕНЮ
QUIT TO MENU,Text,,QUIT TO MENU,Выйти в Меню,ZURÜCK ZUM MENÜ,返回到菜单,退出菜單,QUITTER JUSQU'AU MENU,SAIR PARA O MENU,메뉴에 종료,メニューに終了します,USCIRE AL MENU,MENÜYE ÇIK,الإقلاع عن التدخين إلى القائمة,AVSLUTA TILL MENYN,AVSLUTT TIL MENY,AFSLUT TIL MENU,WYJDź DO MENU,SALIR AL MENU,POISTU VALIKKOON,TERUG NAAR MENU,SAIR PARA O MENU,ΣΤΑΜΑΤΉΣΟΥΝ ΣΤΟ ΜΕΝΟΎ,KILÉPÉS A MENÜBE,RENUNțE LA MENIU,ОТКАЖАТ ДА МЕНЮ,เลิกไปที่เมนู,SKONČIT NA MENU,ВИЙТИ В МЕНЮ
RESTART LEVEL,Text,,RESTART LEVEL,Начать уровень заново,LEVEL NEUSTARTEN,重启关卡,重啟關卡,RECOMMENCER LE NIVEAU,REINICIAR NÍVEL,다시 시작 레벨,レベルを最初からやり直し,RIAVIA IL LIVELLO,BÖLÜMÜ YENİDEN BAŞLAT,مستوى إعادة التشغيل,STARTA OM NIVÅN,RESTART NIVÅ,GENSTART NIVEAU,ROZPOCZNIJ POZIOM OD NOWA,REINICIAR NIVEL,ALOITA UUDELLEEN,LEVEL OPNIEUW BEGINNEN,RECOMEÇAR NÍVEL,ΕΠΑΝΕΚΚΊΝΗΣΗ ΕΠΊΠΕΔΟ,SZINT ÚJRAKEZDÉSE,NIVELUL REPORNIRE,РЕСТАРТИРАНЕ НИВО,ระดับเริ่มต้นใหม่,RESTART LEVEL,РЕСТАРТ РІВНЯ
RESUME,Text,,RESUME,ПРОДОЛЖИТЬ,FORTSETZEN,恢复,恢復,REPRENDRE,VOLTAR AO JOGO,이력서,ゲームに戻る,RIPRENDI,DEVAM ET,استئنف,FORTSÄTT,GJENOPPTA,GENOPTAG,WZNóW,CONTINUAR,JATKA,GA DOOR,CONTINUAR,ΠΕΡΊΛΗΨΗ,FOLYTATÁS,REZUMAT,ОБОБЩЕНИЕ,ย่อ,SHRNUTÍ,РЕЗЮМЕ
INPUT OPTIONS,Text,,INPUT OPTIONS,Настройки Управления,EINGABEOPTIONEN,输入选项,輸入選項,OPTIONS DE TOUCHES,OPÇÕES DE ENTRADA,입력 옵션,入力オプション,OPZIONI DI INPUT,GIRIŞ SEÇENEKLERI,خيارات الإدخال,INMATNINGSALTERNATIV,KONTROLLER ALTERNATIVER,INPUT INDSTILLINGER,OPCJE WEJŚCIOWE,CAMBIAR CONTROLES,OHJAIMET,INVOERMOGELIJKHEDEN,OPÇÕES DE CONTROLE,ΕΠΙΛΟΓΈΣ ΕΙΣΌΔΟΥ,OPTIONS BEJEGYZÉST,INTRARE OPTIUNI,ВЛИЗАНЕ ВАРИАНТИ,รายการตัวเลือก,POLOŽKA OPTIONS,ЗАПИС ВАРІАНТИ
CUSTOM,Text,,CUSTOM,ПОЛЬЗОВАТЕЛЬСКИЙ,BENUTZERDEFINIERT,自定义,自訂,PERSONNALISATION,PERSONALIZADAS,관습,カスタム,PERSONALIZZATO,ÖZEL,عرف,MANUELL INSTÄLLNING,EGENDEFINERT,BRUGERDEFINERET,WŁASNE,PERSONALIZADO,KUSTOMISOITU,AANGEPAST,PERSONALIZADAS,ΈΘΙΜΟ,SAJÁT,OBICEI,ОБИЧАЙ,ประเพณี,ZVYK,ВИГОТОВЛЕНИЙ НА ЗАМОВЛЕННЯ
